rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1228,EGY,Nour Elhoda TAREK MOHAMED,-3,0 - 1,0,100 / 1,https://bwfbadminton.com/player/95015/nour-elhoda-tarek-mohamed,95015
1228,EGY,Yara FOAD,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/96246/yara-foad,96246
1228,EGY,Malak BASEM SOBHY EBRAHIM,-3,1 - 3,0,100 / 1,https://bwfbadminton.com/player/83099/malak-basem-sobhy-ebrahim,83099
1228,EGY,Sama HELMY,-3,0 - 1,0,100 / 1,https://bwfbadminton.com/player/71781/sama-helmy,71781
1228,EGY,Youmna MOHAMED SHAWKI,-3,0 - 1,0,100 / 1,https://bwfbadminton.com/player/68732/youmna-mohamed-shawki,68732
1228,SGP,Jing Yun CHIU,-3,0 - 3,0,100 / 1,https://bwfbadminton.com/player/96771/jing-yun-chiu,96771
1228,IND,Meghana Anil KULKARNI,-3,0 - 1,0,100 / 1,https://bwfbadminton.com/player/74523/meghana-anil-kulkarni,74523
1228,SGP,Wen Jun CHEAH,-3,0 - 2,0,100 / 1,https://bwfbadminton.com/player/85637/wen-jun-cheah,85637
1228,INA,Triya Nur SAADIYAH,-3,1 - 2,0,100 / 1,https://bwfbadminton.com/player/82214/triya-nur-saadiyah,82214
1228,GRE,Christina DELIVORIA,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/81079/christina-delivoria,81079
1228,GRE,Betty Anna STRATI,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/97649/betty-anna-strati,97649
1228,INA,Anissa Syifa OKTAVIANI,-3,1 - 4,0,100 / 1,https://bwfbadminton.com/player/71074/anissa-syifa-oktaviani,71074
1228,INA,Nandini Putri ARUMNI,-3,2 - 6,0,100 / 1,https://bwfbadminton.com/player/71458/nandini-putri-arumni,71458
1228,INA,Thonia Zamrud KHISHTIN,-3,0 - 0,0,100 / 1,https://bwfbadminton.com/player/88767/thonia-zamrud-khishtin,88767
